"school_id","type","title","host","deadline","date","eligibility","benefit","description","url","source_label","tags","goals","official"
"s_berkeley","internship","Haas Spieker Undergraduate Business Program — application (continuing students)","Haas School of Business","2027-03-31","","UC Berkeley sophomores and juniors (apply once)","Admission to the business major","Application opens March 1, 2027 at noon and closes March 31, 2027 at 4:00 pm PT. Prerequisites must be complete by May 14, 2027.","https://haas.berkeley.edu/undergrad/admissions/application-process/continuing-students/","Haas admissions page","business,major,haas","internship","1"
"s_berkeley","lab","Amgen Scholars Program at Berkeley — summer 2027 research","Amgen Scholars Berkeley","2027-02-01","","Undergraduates in biology / chemistry / biomedical fields (see eligibility on site)","Paid 10-week summer research (June 7 – August 13, 2027), housing, symposium","Online application opens in November; supporting documents due February 1, 2027. Program runs June 7 – August 13, 2027.","https://amgenscholars.berkeley.edu/","Amgen Scholars Berkeley","research,summer,biology","lab","1"
"s_berkeley","hackathon","Cal Hacks 13.0","Hackathon at Berkeley","","2026-10-23","Undergraduate and graduate students from any university","36-hour hackathon at the Palace of Fine Arts, San Francisco; travel stipends for some regions","October 23–25, 2026. Hacker applications closed September 20; only confirmed hackers can enter. Watch for the next cycle in spring.","https://calhacks.io/","calhacks.io","hackathon,AI,teams","hackathon","1"
"s_berkeley","startup","Berkeley SkyDeck Accelerator — Batch 24","Berkeley SkyDeck","","","Startups with a Berkeley connection (students, alumni, faculty)","$210K investment for Cohort teams, 6-month program, 900+ advisors","Applications for Batch 24 open in January 2027 (exact deadline not yet posted — last batch accepted applications July 20 – August 21). Check the site in January.","https://skydeck.berkeley.edu/apply/","SkyDeck apply page","startup,accelerator,funding","startup,cofounder","1"
"s_berkeley","startup","Big Ideas Contest — pre-proposal round (fall)","Blum Center / Rudd Family Foundation","","","UC Berkeley undergraduates and graduate students; teams welcome","Up to $10K+ prizes and mentorship for social-impact innovations","Two rounds: a 3-page pre-proposal in the fall (last cycle closed December 2) and an 8-page full proposal in the spring (April). The 2026–27 dates were not yet posted when this was written — confirm on the site.","https://bigideascontest.org/apply/","Big Ideas Contest","social impact,startup,teams","startup,hackathon","1"
"s_berkeley","lab","URAP — Undergraduate Research Apprentice Program (Spring 2027)","Office of Undergraduate Research & Scholarships","","","Matriculated UC Berkeley undergraduates","Work with faculty on research for units; hundreds of projects each semester","Fall 2026 applications are closed. The Spring 2027 round is expected to open in early January with a deadline about a week later — the exact date was not yet posted. Browse current projects on the site to prepare.","https://urap.berkeley.edu/","URAP","research,URAP,units","lab","1"
"s_berkeley","scholarship","SURF L&S — Summer Undergraduate Research Fellowship 2027","Office of Undergraduate Research & Scholarships","","","L&S undergraduates graduating no earlier than Summer 2027","Summer research stipend for an independent project with a faculty mentor","The 2026 round closed March 13 at noon; the 2027 deadline was not yet posted (expect mid-March). Attend a draft workshop or meet a SURF mentor before applying — it is required.","https://research.berkeley.edu/surf/","OURS / SURF","research,summer,stipend","lab,scholarship","1"
"s_berkeley","exchange","Berkeley Study Abroad — Summer 2027 & Global Internships","Berkeley Study Abroad","","","UC Berkeley undergraduates","Study, intern or research abroad for Berkeley credit","Deadlines vary by program and can be 9–12 months before departure. Use the program finder to see each program's deadline; Summer 2027 Global Internships info sessions are running now.","https://studyabroad.berkeley.edu/explore/programs","Berkeley Study Abroad","study abroad,exchange,internship","internship","1"
"s_berkeley","scholarship","Cal Alumni Association — Leadership Award & Achievement Award","Cal Alumni Association","","","Current undergraduates (Leadership Award: innovative leadership; Achievement Award: community-minded students)","Scholarship funding plus alumni mentoring and community","Application dates for the 2027–28 awards were not yet posted. Check the awards page — the Leadership Award cycle usually opens in winter.","https://alumni.berkeley.edu/get-involved/scholarships/","Cal Alumni Association","scholarship,leadership","scholarship","1"
"s_berkeley","scholarship","Prestigious scholarships — Rhodes / Marshall / Fulbright / Gates campus process","Prestigious Scholarships Office","","","Juniors, seniors and recent grads (varies by award)","Fully funded graduate study or research abroad","Each award has a campus deadline that comes before the national one. Fall info sessions are running now (Durham, Imperial/UCL/King's, Cambridge presentations). Check the office calendar for the campus deadline of each award.","https://scholarships.berkeley.edu/","Prestigious Scholarships Office","scholarship,graduate,abroad","scholarship","1"
"s_berkeley","event","Berkeley Career Engagement — Career Fairs (Engineering & Tech,  STEM,  all-majors)","Berkeley Career Engagement","","","Current UC Berkeley students (Extension students not permitted)","Meet recruiters; registration required for Engineering & Tech and STEM fairs","Fair dates and registration are posted on Handshake. Registration for virtual fairs opens one week before each fair. See the career fair calendar for the current semester.","https://career.berkeley.edu/find-opportunities/career-fairs/","Berkeley Career Engagement","career fair,internship,recruiting","internship","1"
"s_berkeley","event","Berkeley Summer Sessions 2027 — enrollment","Berkeley Summer Sessions","","","All students","Catch up or get ahead on units over the summer (Sessions A–F)","2027 session dates and application deadlines were not yet posted; the 2026 deadlines are on the site for reference. Berkeley students enroll via CalCentral.","https://summer.berkeley.edu/courses/session-dates-deadlines","Berkeley Summer Sessions","summer,courses","lunch","1"
